"lineage","colour"
"Cosmopolitan_A1","#EDF8B1"
"A1","#08306B"
"A1.1","#08468B"
"D1.1","#C6DBEF"
"E1","#F7FBFF"
"D1.1.2","#E6F0F9"
"B1.1","#3787C0"
"A1.1.1","#105BA4"
"AF1a_A1","#DE2D26"
"AF1a_A1.1","#FEE0D2"
"AF1b_A1.4","#A9A7D0"
"AF1b_C1.1","#C9C9E2"
"AF1b_B1.1","#B8B8D9"
"AF1b_A1.3","#9A96C7"
"AF1b_E1","#D9D8EA"
"AF1b_A1.3.1","#A19ECC"
"AF1b_G1","#EFEDF5"
"AF1b_E1.1","#DEDDED"
"AF1b_F1.1","#E9E7F2"
"AF1b_A1.1","#7C73B5"
"AF1b_B1.1.1","#BEBFDD"
"AF1b_C1","#C4C4DF"
"AF1b_B1","#B0B0D5"
"AF1b_A1.2","#8B84BE"
"AF1b_A1","#756BB1"
"AF1b_A1.1.1","#837CBA"
"AF1b_D1","#CECEE5"
"AF1b_A1.2.1","#928DC3"
"AF1b_F1","#E4E2EF"
"AF1b_D1.1","#D4D3E7"
"C1","#8DC0DD"
"D1","#ABCFE5"
"AM2a_A1","#FFEDA0"
"D1.1.1","#D6E5F4"
"CA1_A1","#31A354"
"CA1_A1.1","#A1D99B"
"CA1_A1.1.1","#E5F5E0"
"CA2_A1.1","#BDBDBD"
"CA2_A1","#636363"
"CA2_A1.1.1","#F0F0F0"
"B1.1.1","#4F9BCB"
"CE_A1","#E5F5F9"
"EE_A1.1","#FDE0DD"
"EE_A1","#C51B8A"
"ME1a_A1.1.2","#F1813C"
"ME1a_A1.1.4","#F99F5B"
"ME1a_B1.1.1","#FDC08C"
"ME1a_A1.1.3","#F5904B"
"ME1a_A1.1","#E9631C"
"ME1a_A1","#E6550D"
"ME1a_A1.1.1","#ED722C"
"ME1a_B1","#FDAE6B"
"ME1a_C1.1","#FDD3AD"
"ME1a_C1.1.1","#FDDCBD"
"ME1a_C1","#FDCA9C"
"ME1a_B1.1","#FDB77B"
"ME1a_C1.2","#FEE6CE"
"B1.2","#6BAED6"
"ME2_A1","#8856A7"
"ME2_B1","#ABC5DF"
"ME2_B1.1.1","#E0ECF4"
"ME2_B1.1","#C5D8E9"
"ME2_A1.1.1","#99A7CF"
"ME2_A1.1","#907EBB"
"NEE_A1.1.2","#ADDD8E"
"NEE_A1.1","#5AB667"
"NEE_A1","#31A354"
"NEE_A1.1.1","#83C97A"
"NEE_B1.1","#DEF1AA"
"NEE_B1","#C5E79C"
"NEE_B1.2","#F7FCB9"
"WE_A1","#E7E1EF"
"B1","#2171B5"
